,nflId,name,position,weight,age,height,speed_2018,speed_2019,speed_2020,dis_2018,dis_2019,dis_2020,Acc_2018,Acc_2019,Acc_2020
0,28955,Larry Fitzgerald,WR,218,39,6.2,4.5,4.0,6.5,11.2,11.0,24.0,3.5,3.2,3.9
1,29141,Andy Lee,P,185,40,6.1,7.1,8.0,5.2,174.0,115.3,93.8,3.4,3.4,3.0
2,29468,Don Muhlbach,LS,258,41,6.3,8.0,7.8,7.2,207.8,184.7,155.2,4.7,4.0,3.5
3,29874,Mike Nugent,K,190,40,5.8,7.1,4.1,6.7,178.7,21.9,224.2,5.0,3.9,5.1
4,29926,Dustin Colquitt,P,210,40,6.2,7.9,7.5,7.6,71.7,88.8,94.0,3.0,3.3,3.1
5,30403,Robbie Gould,K,190,39,6.0,5.0,7.4,7.6,20.2,26.0,39.2,3.2,3.4,3.1
6,30452,L.P. Ladouceur,LS,256,41,6.4,8.5,8.0,8.0,187.8,140.7,124.6,4.6,4.0,3.7
7,30869,Andrew Whitworth,T,330,40,6.6,4.4,4.7,2.4,20.2,17.0,11.7,1.8,2.0,2.9
8,30932,Stephen Gostkowski,K,215,38,6.1,9.0,8.6,8.2,210.2,201.4,192.0,5.2,5.2,5.1
9,30937,Domata Peko,NT,325,37,6.2,7.4,3.6,7.0,25.0,14.2,34.0,4.0,4.1,4.8
10,31018,Sam Koch,P,222,40,6.1,8.9,8.2,6.6,139.6,87.0,94.0,3.8,3.5,3.3
11,31446,Matt Prater,K,201,38,5.8,5.6,7.9,7.9,32.5,67.3,63.1,4.2,4.9,4.7
12,31517,Tramon Williams,CB,192,39,5.9,9.3,7.7,9.8,95.1,62.8,297.0,5.2,4.4,5.5
13,32202,Ted Ginn,WR,180,37,5.9,5.4,6.6,9.3,39.4,32.5,93.5,4.4,3.9,5.8
14,32224,Greg Olsen,TE,255,37,6.4,7.0,6.2,7.4,31.6,13.1,25.8,2.8,3.2,3.6
15,32386,Mason Crosby,K,207,38,6.1,7.1,6.9,7.8,193.0,159.4,153.5,4.6,4.9,4.6
16,32436,Clark Harris,LS,250,38,6.4,9.2,8.9,8.7,222.8,192.7,213.9,5.0,4.1,4.2
17,33107,Duane Brown,T,315,37,6.3,3.2,1.7,1.0,15.1,7.0,1.8,1.8,1.7,1.0
18,33131,Calais Campbell,DT,300,36,6.7,7.1,4.1,4.4,70.3,37.2,37.8,3.7,3.0,3.0
19,33221,Brandon Carr,CB,210,36,6.0,9.5,9.9,3.4,49.6,115.4,5.6,5.9,5.2,3.6
20,33234,Matt Slater,WR,205,37,6.0,10.7,10.4,10.6,840.6,872.6,725.2,7.3,6.9,6.7
21,33338,Brett Kern,P,214,36,6.2,7.4,7.1,6.4,126.3,123.1,75.3,3.3,3.1,3.1
22,33469,Stephen Hauschka,K,210,37,6.3,8.2,7.4,3.3,146.8,147.7,22.5,4.5,5.5,4.9
23,33557,J.J. Jansen,LS,235,36,6.2,8.6,8.4,8.2,175.5,229.8,143.6,4.6,4.5,4.2
24,33566,Danny Amendola,WR,185,37,5.9,8.3,7.6,8.7,51.8,58.9,46.5,4.7,5.2,4.8
25,34465,Malcolm Jenkins,SS,204,34,6.0,9.0,9.5,6.9,201.1,158.8,43.6,6.6,5.6,5.3
26,34593,Kevin Huber,P,211,37,6.1,9.3,7.4,6.7,137.3,112.1,128.5,4.2,3.3,3.1
27,34615,Thomas Morstead,P,235,36,6.3,9.1,9.7,8.6,101.2,118.0,120.5,2.7,3.3,2.9
28,34654,Jason McCourty,CB,195,35,5.9,10.0,10.3,9.5,182.5,83.5,167.3,4.9,5.1,5.1
29,34683,Julian Edelman,WR,200,36,5.8,8.5,7.7,6.7,102.0,50.6,24.2,5.2,3.8,2.8
30,34707,Ryan Succop,K,218,36,6.2,8.4,7.3,4.8,190.0,157.2,27.9,4.9,5.0,4.2
31,34723,Britton Colquitt,P,210,37,6.2,7.6,6.2,7.5,156.3,102.1,110.6,4.3,3.2,3.2
32,34777,Steve McLendon,NT,310,36,6.2,7.6,7.8,4.5,42.0,40.6,27.5,4.2,3.9,3.3
33,34933,Nick Sundberg,LS,256,35,6.1,8.4,8.2,8.2,227.9,226.9,202.4,4.6,4.1,4.2
34,35441,Ndamukong Suh,DE,313,35,6.3,4.5,3.9,5.6,31.1,15.7,21.8,2.9,2.6,3.0
35,35446,Joe Haden,CB,195,33,5.9,10.0,7.1,6.7,155.5,37.9,27.5,5.8,5.1,4.3
36,35449,Tyson Alualu,DE,304,35,6.2,3.3,3.6,4.3,7.9,16.1,10.8,2.5,2.4,2.5
37,35452,Brandon Graham,DE,265,34,6.2,6.4,8.0,5.3,28.5,37.9,46.2,3.7,3.5,3.4
38,35456,Mike Iupati,G,331,35,6.4,2.1,2.0,4.1,5.8,7.6,7.0,2.1,2.4,1.7
39,35462,Bryan Bulaga,T,314,33,6.4,2.0,2.7,6.9,12.3,11.2,20.5,2.0,2.4,2.1
40,35466,Devin McCourty,FS,195,35,5.8,10.7,8.2,10.3,305.2,229.2,31.7,5.3,4.6,3.5
41,35470,Jerry Hughes,DE,254,34,6.2,9.2,7.2,8.2,45.1,45.5,36.0,4.3,3.6,3.6
42,35471,Patrick Robinson,CB,191,35,5.9,9.2,10.5,10.2,396.2,460.0,483.6,9.3,6.8,7.0
43,35472,Rodger Saffold,G,325,34,6.4,2.8,3.8,6.0,17.1,11.4,12.5,2.0,1.6,1.8
44,35485,Linval Joseph,NT,329,34,6.3,7.3,6.8,6.6,32.9,20.5,39.8,3.2,2.6,3.6
45,35493,Carlos Dunlap,DE,285,33,6.5,5.2,6.0,5.6,26.2,32.7,33.2,3.3,3.3,3.1
46,35494,Sean Lee,OLB,245,36,6.2,7.7,8.0,7.5,40.9,57.4,49.2,4.5,5.1,3.9
47,35499,Golden Tate,WR,197,34,5.8,7.6,9.8,8.0,62.5,68.0,50.7,5.8,5.2,4.6
48,35522,Corey Peters,NT,335,34,6.2,4.1,8.3,4.0,29.5,38.2,32.2,3.1,3.2,3.1
49,35527,Andre Roberts,WR,195,34,5.9,10.4,9.9,10.2,314.5,272.5,258.9,6.8,6.7,6.7
50,35539,Everson Griffen,DE,273,34,6.2,8.4,6.0,9.4,44.8,23.8,26.6,4.0,2.8,3.5
51,35559,Geno Atkins,DT,300,34,6.1,2.4,3.4,1.9,14.3,10.3,3.8,2.6,2.5,1.7
52,35583,Sherrick McManis,SS,203,34,5.9,10.2,10.0,9.9,666.3,853.1,691.9,7.4,7.4,7.2
53,35608,Marshall Newhouse,T,328,34,6.3,4.2,3.4,2.3,15.1,13.0,13.8,2.2,2.1,2.4
54,35618,Sam Young,T,302,35,6.7,3.2,5.4,3.6,9.7,22.1,16.6,2.2,2.4,2.7
55,35731,Jonathan Weeks,LS,242,36,5.8,8.3,8.4,8.5,197.5,164.3,153.7,4.7,4.0,4.0
56,35794,Ben Garland,C,308,34,6.4,7.8,1.4,1.4,25.5,6.4,4.5,2.7,1.6,1.4
57,35888,Tramaine Brock,CB,188,34,6.0,10.2,9.8,8.8,215.5,118.1,57.5,6.6,5.4,4.4
58,36060,Anthony Levine,SS,207,35,5.9,9.8,10.1,10.4,593.2,695.6,678.3,6.4,7.0,7.4
59,36086,Morgan Cox,LS,233,36,6.3,8.8,8.4,8.3,206.4,132.0,151.0,5.0,4.0,4.2
60,36712,Andrew Sendejo,FS,210,35,6.1,8.3,9.8,9.3,90.8,545.3,193.5,5.7,6.4,5.6
61,36785,Ty Nsekhe,T,330,37,6.7,2.8,6.9,4.7,8.7,15.3,12.5,1.5,2.1,1.9
62,37078,Patrick Peterson,CB,203,32,6.1,10.5,9.9,10.1,150.0,94.7,97.5,7.0,5.7,6.0
63,37082,Tyron Smith,T,320,31,6.4,4.1,4.0,1.7,14.1,14.6,4.8,2.2,2.2,1.3
64,37084,J.J. Watt,DE,288,33,6.4,4.0,2.7,2.4,19.4,11.8,7.3,3.0,2.5,2.8
65,37091,Corey Liuget,DT,300,32,6.2,3.2,4.7,2.4,13.2,31.4,19.7,2.8,2.9,2.1
66,37095,Anthony Castonzo,T,307,34,6.6,2.8,3.8,3.0,12.3,15.6,14.9,2.1,2.1,2.3
67,37097,Cameron Jordan,DE,287,33,6.3,7.6,8.0,7.8,17.1,32.4,24.7,2.8,3.4,3.1
68,37098,James Carpenter,G,321,33,6.4,3.0,2.7,3.2,9.5,10.6,12.2,2.1,1.9,1.9
69,37104,Cameron Heyward,DT,295,33,6.4,6.8,6.2,6.7,30.1,30.2,28.2,3.0,2.6,2.5
70,37117,Brooks Reed,OLB,254,35,6.2,9.5,9.2,9.4,77.6,518.1,245.3,3.3,6.2,5.3
71,37118,Kyle Rudolph,TE,265,33,6.5,4.4,7.8,7.9,29.2,32.2,28.7,2.8,3.1,3.0
72,37123,Stefen Wisniewski,G,305,33,6.2,3.6,4.2,2.0,13.7,17.1,9.7,2.1,1.9,1.4
73,37125,Marcus Gilchrist,FS,200,33,5.8,8.5,8.7,9.7,152.7,328.2,455.8,4.8,5.7,5.4
74,37152,Jurrell Casey,DT,305,32,6.1,5.0,3.5,3.8,19.9,24.6,29.9,3.3,2.6,2.9
75,37161,Allen Bailey,DE,288,33,6.2,3.9,5.2,6.4,26.9,23.9,29.0,3.4,2.8,3.1
76,37174,K.J. Wright,OLB,246,33,6.3,3.8,8.7,7.5,45.9,30.3,35.0,4.6,4.3,3.9
77,37179,Luke Stocker,TE,253,34,6.4,9.0,9.6,9.4,271.5,242.4,245.7,5.4,5.7,5.4
78,37200,Taiwan Jones,RB,195,34,6.0,10.8,10.9,10.6,796.2,643.7,733.4,7.9,7.7,6.9
79,37211,Anthony Sherman,RB,242,33,5.8,9.1,8.6,9.1,587.3,528.0,491.3,5.8,6.2,5.6
80,37212,Buster Skrine,CB,185,33,5.8,10.2,10.2,10.3,252.3,232.2,240.8,6.3,5.4,6.0
81,37234,Lee Smith,TE,265,34,6.5,8.8,8.9,7.6,330.3,38.7,61.8,5.1,3.4,3.8
82,37238,Daniel Kilgore,C,291,34,6.2,3.7,4.6,1.6,18.2,14.4,6.8,2.6,2.5,1.1
83,37251,Dwayne Harris,WR,215,35,5.8,10.3,9.9,9.7,644.3,507.0,456.3,7.0,6.5,6.8
84,37279,Virgil Green,TE,255,34,6.4,7.7,8.5,3.6,23.6,19.9,13.0,2.7,2.9,3.4
85,37308,Lawrence Guy,DT,315,32,6.3,7.5,5.6,3.8,54.9,61.1,33.0,3.7,3.7,3.0
86,37317,Malcolm Smith,OLB,225,33,6.0,8.7,9.3,9.1,136.5,311.3,63.9,5.2,5.6,4.6
87,37669,Kyle Nelson,LS,240,36,6.2,9.6,9.1,8.8,239.0,178.4,117.5,5.5,5.0,4.5
88,37737,Chris Hogan,WR,210,35,6.1,10.4,10.2,6.5,378.2,292.3,56.5,5.6,7.0,3.7
89,37740,Kenny Wiggins,G,314,34,6.5,2.3,7.0,3.8,9.2,27.3,9.2,2.3,2.7,1.6
90,37778,Josh Bynes,ILB,235,33,6.1,8.1,8.7,6.1,77.9,171.6,57.2,3.1,5.3,4.0
91,37784,Patrick Scales,LS,228,34,6.2,8.4,8.1,7.8,186.6,217.5,180.8,4.8,4.4,4.1
92,37792,Nick Bellore,FB,250,33,6.1,9.5,9.8,9.9,665.2,639.4,655.7,7.0,6.4,6.8
93,37841,Mario Addison,DE,260,35,6.2,7.0,5.2,5.9,39.1,25.9,23.1,3.9,2.9,2.7
94,37874,Jake McQuaide,LS,235,34,6.2,8.1,7.8,7.7,140.0,194.1,212.8,4.3,3.9,4.2
95,38134,Dan Bailey,K,190,34,6.0,8.9,6.7,7.5,220.9,228.7,187.6,4.3,3.8,3.8
96,38138,Chris Jones,P,205,33,6.0,8.3,8.6,7.6,135.7,90.5,87.9,3.7,3.4,2.9
97,38220,Kai Forbath,K,197,35,5.9,3.6,7.2,7.3,13.5,182.1,180.0,5.3,5.2,5.6
98,38470,Craig Robertson,ILB,234,34,6.1,9.5,9.2,11.1,708.5,707.7,767.2,6.2,6.0,7.6
99,38541,Dontari Poe,DT,346,32,6.2,2.5,6.4,5.2,9.0,19.6,33.1,2.3,3.2,3.9
100,38542,Fletcher Cox,DT,310,31,6.3,3.2,4.4,4.2,14.4,24.4,27.7,2.4,3.0,3.0
101,38544,Michael Brockers,DE,305,31,6.4,6.0,4.5,4.5,36.7,32.9,22.5,3.3,3.2,3.0
102,38545,Bruce Irvin,OLB,250,35,6.2,4.7,3.9,3.7,26.1,16.0,17.8,3.4,3.1,3.8
103,38551,Chandler Jones,OLB,265,32,6.4,5.1,5.1,3.0,33.2,46.0,3.9,2.9,4.4,5.9
104,38553,Riley Reiff,T,305,33,6.5,3.1,3.2,2.5,17.6,13.8,12.0,1.9,1.8,2.0
105,38554,David DeCastro,G,316,32,6.4,2.2,2.5,2.9,9.8,7.6,6.0,1.8,1.7,1.9
106,38557,Kevin Zeitler,G,315,32,6.3,4.6,3.3,3.5,7.9,5.2,7.0,1.7,1.4,1.6
107,38559,Harrison Smith,SS,214,33,6.2,8.4,8.2,8.0,37.4,34.3,26.3,5.3,4.8,4.3
108,38566,Derek Wolfe,DE,285,32,6.4,6.8,2.2,4.1,39.5,12.1,20.8,3.4,2.3,2.9
109,38567,Mitchell Schwartz,T,320,33,6.4,2.2,2.9,2.8,15.3,12.7,14.8,2.0,1.9,1.9
110,38569,Janoris Jenkins,CB,190,34,5.8,9.6,9.7,8.3,217.4,157.7,39.7,6.1,5.2,5.0
111,38577,Bobby Wagner,MLB,242,32,6.0,6.0,6.9,7.6,24.6,21.5,36.2,2.2,2.3,2.5
112,38578,Tavon Wilson,SS,208,32,6.0,10.0,10.1,9.8,385.8,316.7,551.7,6.7,6.5,6.3
113,38588,Lavonte David,ILB,233,32,6.1,7.3,8.5,5.9,28.8,49.5,20.3,4.2,3.4,3.5
114,38589,Vinny Curry,DE,279,34,6.2,7.3,8.2,3.8,50.4,33.4,23.7,4.4,3.4,2.8
115,38590,Kelechi Osemele,G,330,33,6.4,2.8,1.9,2.4,9.5,3.6,13.3,2.0,2.3,1.7
116,38600,Bryan Anger,P,205,34,6.2,8.2,8.6,9.3,112.8,89.1,91.6,4.3,3.4,3.2
117,38611,Tyrone Crawford,DE,290,32,6.3,7.2,5.6,6.9,50.3,21.9,34.3,3.8,2.6,3.0
118,38613,Mohamed Sanu,WR,215,33,6.2,6.8,7.7,6.6,31.7,87.6,22.4,3.4,5.3,5.8
119,38625,Tony Bergstrom,G,310,36,6.4,3.3,3.9,2.9,11.0,7.7,11.3,1.8,1.6,1.9
120,38629,Ben Jones,C,308,33,6.2,2.0,4.3,2.7,6.3,12.6,5.5,1.6,2.0,2.0
121,38635,Nigel Bradham,OLB,241,33,6.2,4.9,6.0,9.6,18.9,39.2,618.3,3.7,4.3,6.7
122,38642,Bobby Massie,T,325,33,6.5,2.4,2.3,2.4,11.2,7.9,8.6,1.9,1.8,1.9
123,38643,Kyle Wilber,OLB,240,33,6.3,9.6,9.6,9.4,772.6,717.7,705.4,7.4,6.5,6.4
124,38647,Joe Looney,C,315,32,6.2,7.9,6.8,3.4,20.0,17.3,17.1,2.1,2.0,1.9
125,38662,Mike Daniels,DT,310,33,6.0,4.6,6.8,3.2,23.0,19.3,24.3,3.1,2.9,2.8
126,38667,Malik Jackson,DT,290,32,6.4,5.1,2.7,6.4,20.6,17.5,33.8,3.0,4.6,3.6
127,38668,Tahir Whitehead,MLB,241,32,6.2,8.6,7.2,6.6,35.5,35.2,33.6,4.7,4.1,4.3
128,38681,Senio Kelemete,G,300,32,6.2,3.9,1.3,3.4,13.3,3.6,17.2,1.6,2.1,2.4
129,38683,Dennis Kelly,T,321,32,6.7,6.8,4.5,6.1,17.0,15.8,15.1,3.2,2.9,2.6
130,38688,Jack Crawford,DT,288,34,6.4,6.7,8.3,7.5,38.9,60.8,86.0,3.4,3.8,3.6
131,38691,Randy Bullock,K,210,32,5.8,7.4,6.8,7.1,189.2,146.0,144.4,4.7,4.9,4.5
132,38696,Marvin Jones,WR,198,32,6.2,4.0,5.9,4.0,6.5,13.9,10.5,3.7,3.6,1.7
133,38701,Greg Zuerlein,K,191,34,6.0,6.3,8.1,6.1,241.3,180.0,190.9,5.4,5.5,4.5
134,38707,Justin Bethel,CB,200,32,6.0,10.5,10.6,10.7,735.6,882.1,807.0,8.6,7.5,8.4
135,38718,Danny Trevathan,ILB,239,32,6.0,7.0,6.6,6.4,33.0,39.8,39.0,4.9,3.3,3.9
136,38723,Tom Compton,T,313,33,6.5,2.6,1.9,2.4,12.9,5.4,8.6,1.7,1.4,2.3
137,38737,Nate Ebner,SS,215,33,6.0,10.0,9.7,9.9,756.8,759.1,673.8,6.6,6.1,6.8
138,38755,J.R. Sweezy,G,310,33,6.4,3.2,3.6,5.6,12.0,13.9,11.0,1.8,1.6,1.5
139,38785,Josh Harris,LS,224,33,6.1,9.3,8.6,8.7,158.8,153.4,159.6,5.0,4.4,4.5
140,38815,Johnny Hekker,P,241,32,6.4,9.0,8.8,9.5,114.1,156.3,155.6,3.9,4.0,4.1
141,38843,Rodney McLeod,FS,195,32,5.8,8.8,9.5,9.4,171.9,255.9,181.7,6.8,6.0,5.5
142,38852,Michael Thomas,SS,195,32,5.9,10.0,9.8,9.7,770.2,798.4,645.8,6.6,6.4,7.4
143,38883,L.J. Fort,OLB,232,32,6.0,9.6,9.5,9.4,730.6,677.0,587.5,7.2,6.5,6.7
144,38897,Aaron Brewer,LS,232,32,6.4,9.0,8.8,8.3,293.1,208.5,164.1,5.2,4.4,4.2
145,38947,Cole Beasley,WR,174,33,5.7,8.0,6.1,6.7,70.0,25.5,18.0,5.2,3.3,3.9
146,38955,Charley Hughlett,LS,248,32,6.3,9.5,8.1,8.0,267.5,181.8,146.5,5.7,4.7,4.1
147,39008,Julian Stanford,OLB,230,32,6.1,9.4,9.7,10.0,727.9,772.0,610.7,6.5,7.3,6.4
148,39109,Derek Carrier,TE,240,32,6.2,9.7,9.7,9.8,742.5,749.5,715.7,6.9,6.6,6.5
149,39124,Beau Brinkley,LS,260,32,6.3,9.1,8.8,8.4,235.3,247.7,147.3,5.3,4.6,3.9
150,39146,Mike Remmers,T,310,33,6.4,3.0,1.8,2.2,12.8,4.1,10.4,2.4,1.2,2.1
151,39232,Neiko Thorpe,CB,210,32,6.2,10.5,10.4,10.6,982.1,747.1,640.0,7.5,6.9,7.4
152,39470,Justin Tucker,K,183,32,6.1,8.6,9.3,8.0,219.6,272.8,218.0,5.0,5.2,4.9
153,39684,Greg Van Roten,G,305,32,6.2,3.4,4.7,6.7,10.3,14.4,9.7,2.0,2.1,2.3
154,39907,Darren Fells,TE,270,36,6.6,8.8,8.8,8.8,296.6,27.6,29.1,5.1,3.2,2.9
155,39908,Erik Harris,FS,220,32,6.2,10.0,10.0,9.9,854.9,439.9,484.0,6.9,6.1,6.4
156,39941,Chris Banjo,FS,207,32,5.8,10.0,10.2,10.1,716.9,770.3,411.1,6.4,6.5,5.5
157,39947,Eric Fisher,T,315,31,6.6,5.6,4.8,5.5,30.8,22.9,29.8,2.2,2.2,2.4
158,39949,Dion Jordan,DE,275,32,6.5,4.8,8.8,6.0,19.1,146.1,38.0,3.2,5.1,3.5
159,39950,Lane Johnson,T,317,32,6.5,2.2,6.6,2.2,12.5,12.0,5.7,2.0,2.2,2.7
160,39952,Barkevious Mingo,OLB,235,32,6.4,10.3,10.2,10.2,877.9,622.7,796.8,7.2,6.2,6.8
161,39954,Tavon Austin,WR,179,32,5.7,8.8,8.9,6.3,84.1,83.6,86.2,5.4,5.5,4.1
162,39959,Sheldon Richardson,DT,294,31,6.2,6.3,4.1,4.6,29.9,24.8,20.4,3.4,3.5,2.8
163,39965,Justin Pugh,G,311,32,6.4,3.8,2.6,5.4,11.5,10.3,11.9,2.1,2.2,2.0
164,39974,Sylvester Williams,DT,328,33,6.2,5.1,4.3,2.5,27.4,21.9,17.8,2.7,2.8,2.8
165,39975,Cordarrelle Patterson,WR,238,31,6.2,10.3,10.5,10.4,115.1,522.0,350.0,5.1,6.7,6.5
166,39983,Zach Ertz,TE,250,32,6.4,7.9,2.9,2.3,34.0,5.0,16.9,3.7,2.0,2.7
167,39984,Darius Slay,CB,190,31,6.0,9.6,9.3,8.9,102.5,44.1,80.3,5.7,5.0,4.6
168,39985,Giovani Bernard,RB,205,30,5.8,8.9,9.4,10.1,109.9,39.4,210.1,5.7,4.4,5.8
169,39989,Robert Woods,WR,193,30,6.0,8.9,6.9,5.5,23.2,12.6,15.3,3.6,3.3,4.6
170,39992,Kawann Short,DT,315,33,6.2,5.2,3.3,3.3,24.7,32.4,24.4,3.1,2.3,3.1
171,39993,Kevin Minter,ILB,246,31,6.0,8.7,9.6,9.4,512.6,625.4,707.3,5.9,6.2,6.4
172,39997,Johnathan Hankins,DT,340,30,6.2,4.5,3.4,3.8,23.8,21.4,22.9,3.2,2.7,3.2
173,40000,Jamie Collins,OLB,255,33,6.2,4.6,9.4,6.4,28.7,156.5,25.7,4.8,6.0,4.6
174,40001,Margus Hunt,DT,295,35,6.7,7.6,7.8,6.5,53.6,59.0,33.7,3.8,3.3,3.2
175,40002,Jamar Taylor,CB,192,32,5.9,9.5,9.8,10.0,200.9,369.0,148.5,5.1,6.1,4.7
176,40003,Vance McDonald,TE,267,32,6.3,9.0,9.9,8.5,82.8,38.7,50.3,3.6,2.8,3.1
177,40018,Blidi Wreh-Wilson,CB,190,32,6.1,10.0,10.0,10.0,485.4,295.8,305.5,8.1,5.8,5.9
178,40029,Damontre Moore,DE,260,30,6.3,7.6,7.2,9.5,242.0,201.8,424.1,4.8,4.5,5.8
179,40031,Logan Ryan,FS,195,31,5.9,9.9,9.7,9.0,164.6,90.5,180.6,5.6,5.8,5.1
180,40032,Shawn Williams,SS,210,31,6.0,9.2,8.7,9.8,199.3,176.2,719.2,5.8,6.0,6.4
181,40039,Duron Harmon,SS,205,31,6.1,7.6,9.4,9.8,79.2,100.2,132.1,3.6,4.0,6.0
182,40042,Brandon Williams,NT,336,33,6.1,5.0,4.2,3.8,25.4,25.4,20.3,3.1,2.9,3.2
183,40048,Akeem Spence,DT,307,30,6.1,6.5,6.1,6.0,29.6,32.6,19.6,3.0,3.0,3.1
184,40051,Alex Okafor,DE,260,31,6.3,7.6,5.7,1.6,88.5,28.7,2.7,4.1,3.3,1.8
185,40057,David Bakhtiari,T,310,31,6.3,3.5,2.7,1.2,13.5,8.8,6.1,1.9,1.6,1.5
186,40074,William Gholston,DE,281,31,6.5,6.8,8.0,4.7,43.8,50.9,30.3,3.6,3.2,3.1
187,40077,John Simon,DE,260,32,6.2,8.9,8.9,8.5,263.5,323.9,219.8,5.2,4.8,4.1
188,40078,Kyle Juszczyk,FB,240,31,6.1,9.3,9.3,9.6,210.5,145.2,213.8,5.9,5.8,6.2
189,40081,Levine Toilolo,TE,268,31,6.7,8.5,8.9,8.9,72.0,241.7,299.4,3.7,5.2,5.6
190,40089,Oday Aboushi,G,315,31,6.4,2.8,2.6,3.4,10.9,9.4,10.9,1.9,2.4,2.3
191,40096,A.J. Klein,OLB,240,31,6.1,9.3,9.1,9.6,251.9,152.1,254.4,5.4,5.3,5.6
192,40106,Luke Willson,TE,254,32,6.4,8.6,9.1,9.3,105.2,294.4,181.9,4.3,5.8,5.3
193,40107,Micah Hyde,FS,197,31,6.0,9.0,10.0,6.3,149.8,49.7,44.8,5.5,4.3,5.4
194,40113,Sam Martin,P,211,32,6.1,8.1,8.4,7.7,302.6,259.2,109.9,5.0,4.5,3.7
195,40116,Rick Wagner,G,315,33,6.5,1.8,5.2,2.6,9.8,15.3,11.0,1.8,1.9,1.9
196,40118,Eric Kush,G,317,33,6.3,3.6,4.8,1.2,10.9,11.6,4.1,2.6,2.9,1.7
197,40125,Dustin Hopkins,K,203,32,6.2,7.5,7.6,9.4,148.4,156.7,155.1,5.3,5.9,5.2
